0,0,0
0,0,1
0,2,3
0,2,5
0,1,4
0,4,2
0,5,2
2,3,7
1,6,13
1,15,15
1,6,20
0,7,13
1,11,18
2,6,13
4,8,12
2,9,23
3,11,15
4,8,2
8,14,4
10,11,14
13,4,15
11,16,13
7,16,18
5,14,5
1,6,16
5,8,23
3,11,18
2,26,13
7,26,21
10,18,44
9,11,61
3,3,53
4,10,18
3,18,39
8,18,20
9,15,25
2,13,15
11,15,17
19,7,19
18,11,26
13,14,41
11,18,87
14,24,48
13,16,34
7,15,27
5,24,20
16,20,40
10,17,33
14,16,12
28,6,68
25,8,92
16,16,34
19,24,48
8,26,43
2,19,32
6,4,35
7,6,88
19,18,53
21,38,18
18,32,51
19,22,26
17,30,64
17,16,54
17,17,20
21,31,100
11,38,113
11,53,49
4,33,16
14,30,32
8,54,103
11,43,97
3,12,502
5,19,456
6,44,140
19,35,44
31,14,79
17,13,128
5,13,119
12,15,106
12,23,103
15,42,84
15,33,22
19,11,119
34,23,156
35,42,150
23,26,96
25,42,129
51,62,273
45,55,260
39,60,226
51,65,175
29,33,43
8,18,19
16,28,23
15,27,35
12,30,149
22,14,382
11,16,332
6,27,111
32,22,54
37,49,95
17,53,68
35,48,74
40,54,60
16,16,22
5,45,81
19,70,45
30,72,43
47,84,82
44,84,146
26,75,180
17,42,155
5,37,84
24,69,46
44,85,153
35,55,80
18,2,71
37,29,131
20,38,163
20,31,122
30,41,68
50,37,131
53,31,243
36,23,373
18,30,243
18,45,54
23,50,69
22,33,105
0,0,0
0,0,0
0,0,2
0,1,3
1,0,3
0,2,2
2,5,4
2,5,3
2,3,5
2,9,4
3,11,22
5,22,27
5,22,33
4,5,34
3,5,13
5,6,15
9,4,13
7,8,1
2,9,6
2,7,9
4,9,9
5,11,7
6,14,14
8,3,20
9,6,31
5,2,22
3,13,7
4,12,6
7,11,11
6,16,10
7,12,9
10,11,34
7,12,49
8,19,25
10,25,31
16,16,34
3,6,12
0,13,27
7,5,31
13,20,16
13,12,102
4,12,67
7,26,30
8,17,28
4,8,21
0,19,31
7,33,46
11,38,41
14,29,15
23,19,55
5,16,70
3,19,75
7,24,50
5,26,49
11,15,79
8,23,28
10,37,41
16,27,54
22,29,13
30,34,14
28,30,119
21,15,87
19,8,42
10,30,51
19,48,26
24,37,81
13,19,28
14,39,69
26,49,125
17,19,69
1,16,147
9,23,311
10,16,181
9,11,32
8,25,50
19,41,59
16,40,92
9,29,62
9,15,43
13,19,61
11,34,43
8,6,44
28,13,56
29,12,82
21,12,90
9,4,49
15,21,51
38,36,131
42,24,176
26,51,124
6,52,125
17,64,82
6,61,47
7,32,62
8,23,45
6,28,121
12,48,135
18,47,58
32,39,70
16,40,21
20,40,78
15,34,90
33,55,77
32,43,90
9,36,70
8,38,55
9,2,23
7,27,65
10,91,108
7,89,72
19,52,14
24,10,50
15,35,93
11,52,160
11,37,119
25,46,90
22,71,86
20,65,137
11,29,196
12,10,128
5,19,184
17,30,370
23,26,345
29,12,175
31,8,149
27,38,53
33,37,77
28,14,78
0,0,0
0,0,1
0,0,1
1,1,2
1,1,1
1,2,2
2,3,3
2,0,2
0,1,3
1,3,0
0,6,8
3,0,16
4,18,69
6,22,67
0,8,28
7,9,19
7,10,6
4,12,7
2,20,7
3,17,10
1,7,11
6,4,12
3,12,12
3,15,21
2,9,16
2,12,16
5,10,18
2,4,34
2,7,43
6,18,46
7,21,70
12,19,84
12,15,80
13,6,82
5,4,30
10,6,26
16,9,31
19,8,50
12,11,47
11,19,38
18,33,110
25,23,134
16,4,63
6,11,56
7,13,16
13,18,15
16,19,11
11,17,26
13,15,58
10,16,54
21,18,45
12,5,51
13,9,17
22,11,41
11,13,24
9,27,63
19,17,75
31,7,64
37,7,35
26,21,78
14,33,116
14,33,118
9,26,75
26,30,33
26,3,38
12,2,92
11,23,30
18,50,42
14,33,37
20,18,36
16,5,164
25,11,186
29,13,55
12,38,22
23,32,23
31,17,111
18,9,100
5,6,10
3,6,25
5,17,71
5,33,105
3,14,75
6,33,62
4,45,111
10,45,61
3,41,3
2,36,10
11,6,39
4,27,20
1,55,103
16,63,89
18,15,58
10,26,58
13,12,42
20,48,14
27,49,51
23,25,208
15,20,200
27,23,111
26,10,91
16,23,45
23,41,43
23,70,25
45,79,80
28,15,75
26,53,38
28,35,52
29,22,15
25,53,55
26,31,18
43,19,90
38,19,159
18,46,148
16,66,103
21,78,91
19,48,47
23,68,113
34,73,277
45,38,271
45,21,236
42,35,179
32,22,178
32,24,77
29,35,72
12,54,75
1,90,96
15,104,82
20,84,86
0,0,0
0,0,1
0,0,2
0,0,3
0,0,3
0,1,4
2,1,2
3,4,3
2,4,3
1,0,2
2,0,6
2,4,9
3,7,29
11,14,10
13,32,24
6,19,20
3,5,34
2,6,14
7,8,9
6,7,12
6,8,7
9,9,8
5,16,16
6,11,2
2,5,21
1,7,23
5,5,36
5,2,33
2,6,35
8,6,32
9,6,14
10,13,18
9,13,43
2,13,87
5,4,63
7,12,42
5,17,46
9,14,24
14,13,34
8,8,112
7,11,156
12,10,89
17,8,42
12,10,47
11,16,35
15,19,13
13,7,14
8,21,33
3,11,19
1,6,21
15,7,13
7,22,17
8,19,68
19,15,70
26,25,124
23,19,140
16,7,80
13,7,31
15,9,39
22,15,70
32,13,74
19,38,57
2,19,34
4,3,53
15,37,108
4,29,103
19,21,22
17,43,92
18,20,87
13,23,71
13,1,290
4,33,348
14,49,194
22,32,94
12,19,32
15,22,28
11,21,30
8,19,107
14,21,74
24,28,56
24,18,27
21,11,59
23,4,22
24,1,65
15,8,30
24,20,30
23,18,43
9,5,81
19,20,69
11,28,38
32,4,77
31,33,35
5,31,32
23,44,66
23,35,65
15,30,40
21,52,214
15,41,335
13,67,157
4,46,66
13,29,109
14,20,34
35,13,17
2,17,64
29,46,105
6,56,85
16,43,47
11,65,37
7,62,43
32,18,33
36,23,163
21,24,207
10,68,55
17,97,105
17,32,132
21,60,62
12,57,105
17,19,130
25,23,2
8,30,84
21,34,6
34,46,90
34,44,190
1,68,119
29,74,93
26,14,50
9,33,53
3,29,82
0,0,0
0,0,1
0,0,1
0,1,2
0,2,5
0,3,9
0,3,11
0,3,7
0,2,5
1,8,4
2,10,9
1,10,4
2,28,23
5,37,32
2,17,31
4,8,45
1,8,35
3,5,4
6,3,11
8,8,8
5,13,18
3,5,35
2,13,19
5,21,12
3,14,10
5,13,7
7,6,6
6,5,11
9,7,18
6,14,15
1,17,21
7,16,39
7,15,25
7,14,39
4,14,50
5,18,6
4,20,26
5,12,37
7,2,58
13,13,64
19,26,80
15,23,101
17,18,71
20,13,22
17,18,28
13,24,43
14,4,35
9,14,25
1,7,26
11,14,63
23,12,79
12,0,90
10,9,97
14,11,52
14,6,60
14,8,96
14,9,32
6,12,59
17,19,37
17,27,33
11,28,92
9,14,82
3,42,32
7,39,9
10,11,63
46,26,76
60,28,112
46,35,156
28,39,60
5,26,64
12,22,119
14,17,87
16,3,24
16,9,39
16,14,58
13,23,59
14,8,83
9,7,22
13,10,91
4,11,52
2,19,23
5,15,59
1,28,63
3,37,22
13,28,94
18,21,62
13,17,9
36,18,23
39,14,65
57,19,186
32,33,249
10,39,114
4,48,32
17,37,58
37,22,64
23,28,73
5,46,281
12,60,311
20,25,32
5,43,119
16,30,72
31,22,73
11,69,48
51,62,74
26,57,104
22,83,92
31,35,44
14,30,61
17,5,29
9,20,21
13,25,168
2,24,173
11,47,76
32,24,90
39,28,128
31,53,39
46,73,53
33,39,26
48,18,55
55,23,28
32,47,53
15,33,162
29,50,334
37,40,332
30,15,167
37,11,53
29,49,32
19,16,58
0,0,0
0,0,1
0,0,2
0,0,4
1,0,4
2,0,1
2,0,7
1,2,9
1,1,6
3,4,6
5,4,1
5,7,5
2,8,32
1,22,59
1,23,66
5,9,40
8,7,6
8,6,11
4,12,13
9,9,24
5,7,18
4,19,27
3,11,31
6,7,21
9,13,15
5,14,26
2,8,25
7,5,19
10,3,40
11,2,24
6,7,14
2,7,38
3,17,36
3,15,67
1,5,63
5,16,21
6,10,22
5,7,33
3,6,16
11,4,38
20,8,85
15,13,97
7,13,39
2,8,32
10,7,38
7,6,20
7,11,18
8,24,39
4,24,30
8,22,13
22,12,36
19,17,72
4,14,19
6,11,33
15,5,3
21,20,46
15,31,64
17,31,58
17,27,58
9,18,19
10,9,1
6,27,56
8,5,71
30,16,43
35,25,46
9,42,36
4,29,45
21,9,41
15,5,65
11,21,56
7,15,58
16,14,103
12,19,70
6,2,49
14,4,38
22,17,53
23,35,115
13,26,111
1,21,26
6,27,14
2,18,53
6,15,49
5,34,64
8,27,93
16,14,122
16,13,114
15,12,73
48,4,58
56,9,135
44,8,45
24,5,121
9,17,108
20,22,60
22,19,56
13,43,26
26,40,120
24,10,377
21,20,389
26,21,130
11,33,103
31,58,106
40,37,85
9,62,23
37,64,52
19,56,109
30,59,70
30,18,99
34,27,92
18,47,21
10,51,79
19,66,103
13,102,27
19,76,130
15,23,141
22,51,130
42,28,53
43,35,57
16,63,113
18,45,140
20,24,80
12,65,126
19,29,115
33,17,175
31,14,144
26,52,89
16,26,75
20,32,81
7,42,79
0,0,0
0,0,0
0,1,1
0,2,5
1,2,5
2,1,4
1,0,0
0,1,2
1,4,8
2,9,12
2,8,5
0,4,1
2,10,10
4,28,9
1,26,12
4,10,50
4,7,42
1,10,5
7,6,27
6,7,25
5,15,28
9,7,20
6,9,20
4,3,38
4,6,26
8,11,16
12,16,11
8,9,24
4,5,35
6,20,27
8,22,30
15,10,23
15,5,38
12,11,45
8,10,17
7,15,15
7,10,13
10,12,24
8,20,60
6,6,93
20,14,136
29,21,56
21,14,43
16,11,41
7,2,47
12,9,44
8,26,40
7,25,44
18,23,30
19,18,66
18,14,92
11,26,9
10,39,40
1,25,34
12,15,54
7,15,14
6,37,28
26,42,57
27,34,42
10,15,21
11,32,56
18,59,58
25,42,72
32,24,107
22,25,109
10,12,70
18,16,36
21,27,45
19,21,41
16,22,4
7,38,62
6,8,120
1,25,122
2,17,123
5,42,75
0,48,63
10,34,97
19,11,39
10,8,30
4,22,16
14,40,43
15,52,74
4,43,85
7,28,100
9,29,40
13,24,54
25,13,51
27,30,90
15,26,66
9,6,51
16,6,117
24,35,164
11,53,80
11,38,62
11,30,59
25,37,69
22,14,280
27,31,260
30,23,50
22,11,23
