0,0,0,2
13,-2,0,3
24,-2,22,0
19,-1,31,0
2,0,3,1
1,0,2,1
0,0,0,0
0,0,0,0
0,0,0,0
27,-3,0,0
28,-3,46,0
6,1,9,0
1,0,2,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
14,-2,0,0
24,-4,24,-1
19,-3,31,-1
1,0,2,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
20,-5,0,1
29,-5,33,-2
21,-2,35,-1
1,0,2,1
0,0,0,1
0,0,0,1
0,0,0,1
13,-3,0,0
17,-4,23,-1
10,-2,17,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,3
1,0,1,-1
30,-7,2,-1
31,-7,50,-1
4,0,7,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,2
0,0,0,-1
15,-3,0,0
28,-4,26,-2
24,-3,38,-1
1,0,3,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
22,-5,0,0
26,-5,38,-2
16,-3,25,-1
1,0,2,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,1,0
20,-4,0,0
22,-4,33,0
11,-1,17,0
0,0,1,1
0,0,0,0
0,0,0,4
0,0,0,1
0,0,0,-1
21,-3,0,1
25,-3,36,0
13,0,21,0
1,0,2,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
24,-3,0,0
26,-3,40,0
11,-1,18,-1
0,0,1,0
0,0,0,0
0,0,0,1
0,0,0,-1
0,0,0,0
30,-7,1,1
30,-7,50,-1
3,0,6,1
0,0,0,2
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
28,-8,1,0
29,-8,47,0
4,0,6,0
0,0,0,1
0,0,0,1
0,0,0,1
1,0,0,0
26,-4,2,0
27,-4,43,0
8,0,14,1
0,0,1,0
0,0,0,1
0,0,0,0
1,0,0,1
1,0,2,-1
27,-4,0,0
28,-4,45,1
7,0,11,1
1,0,2,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
30,-5,0,3
31,-5,49,-1
5,0,8,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,-1
28,-5,0,1
29,-5,47,0
5,0,9,0
0,0,0,-1
0,0,0,-1
0,0,0,0
0,0,0,1
4,0,1,0
25,2,8,2
24,2,40,1
2,0,4,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
12,-3,0,0
24,-2,21,0
20,-1,33,0
2,0,3,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,1,0
34,-8,0,0
36,-8,57,-1
11,0,18,0
0,0,1,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,-1
25,-5,0,-1
25,-5,41,-1
4,0,6,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,2
3,-1,0,2
31,-7,6,-1
31,-7,49,-1
3,0,4,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,-1
10,-2,1,0
29,-6,18,-1
27,-6,44,-1
1,0,2,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
6,-1,1,0
21,-2,10,0
19,-2,32,0
18,-2,1,-1
21,-2,30,1
12,0,20,0
0,0,1,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,1,0
30,-6,0,0
31,-6,51,0
5,0,9,0
0,0,0,0
0,0,0,-1
0,0,0,1
0,0,0,2
0,0,0,-1
30,-6,0,3
31,-6,51,-1
4,0,7,0
0,0,0,0
0,0,0,0
0,0,0,2
0,0,0,0
2,0,0,0
33,-6,3,-1
33,-6,53,-1
2,0,4,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
13,-2,0,2
20,-3,23,0
15,-1,25,0
0,0,1,0
0,0,0,1
0,0,0,0
0,0,0,2
0,0,0,0
15,-3,0,2
21,-4,25,-2
16,-2,26,-1
1,0,2,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
15,-3,0,2
23,-4,26,-1
18,-2,30,0
1,0,2,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,-1
18,-2,0,0
23,-3,31,-1
15,-1,25,0
1,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
21,-3,0,2
23,-3,35,-1
10,-1,16,-1
1,0,1,0
0,0,1,2
0,0,0,1
0,0,0,2
1,0,0,0
33,-4,3,0
33,-4,53,0
2,0,4,0
0,0,0,1
0,0,0,1
0,0,0,2
0,0,0,-1
12,-2,0,0
24,-3,20,-1
21,-3,34,0
1,0,2,0
0,0,0,2
0,0,0,3
0,0,0,0
0,0,0,1
25,-5,0,2
26,-5,43,-1
8,0,14,-1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,2
28,-6,0,2
29,-6,47,0
5,0,9,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
1,0,0,-1
29,-6,2,0
30,-5,49,-1
2,0,4,-1
0,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
6,-1,0,2
21,-1,11,0
19,-1,32,1
1,0,2,0
0,0,0,0
0,0,0,2
0,0,1,0
0,0,0,2
3,0,0,1
23,-2,5,0
22,-2,37,0
2,0,3,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
18,-3,0,2
20,-3,30,0
9,-1,15,-1
0,0,0,0
0,0,0,1
0,0,1,0
0,0,0,1
0,0,0,3
0,0,0,-1
0,0,0,-1
0,0,0,-1
0,0,0,0
0,0,0,-1
0,0,0,1
0,0,0,0
7,0,0,0
21,9,12,0
20,9,32,1
4,5,6,3
1,1,2,2
0,0,0,1
0,0,0,2
0,0,0,-2
0,0,0,0
0,0,0,0
0,0,0,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,-1
0,0,0,0
0,0,0,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
2,0,0,-1
30,19,4,0
31,19,46,4
9,12,12,5
2,2,3,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,-1
0,0,0,-1
0,0,0,-1
0,0,0,0
1,0,0,-2
1,0,2,2
0,0,0,2
0,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,-1
0,0,0,0
18,5,0,2
26,17,30,1
16,20,23,4
4,6,5,1
0,1,1,2
0,0,0,-1
0,0,0,0
0,0,0,-2
0,0,0,-1
0,0,0,-2
0,0,0,0
0,0,0,0
0,0,0,-1
0,0,0,0
0,0,0,-1
0,0,0,0
0,0,0,-1
0,0,0,-1
0,0,0,0
0,0,0,0
0,0,0,-1
0,0,0,0
0,0,0,-1
6,1,0,0
25,20,9,0
25,21,37,4
7,10,10,4
2,3,3,0
0,0,0,0
0,0,0,2
0,0,0,1
1,0,0,1
1,0,3,-1
0,0,1,0
0,0,0,-1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,-1
0,0,0,0
0,0,0,-1
0,0,0,-1
0,0,0,0
0,0,0,-1
0,0,0,-2
0,0,0,-1
0,0,0,0
20,-2,0,1
36,5,34,0
29,7,45,0
4,4,6,0
1,1,2,0
0,1,0,0
0,0,0,0
0,0,0,-1
0,0,0,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,-2
0,0,0,-2
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,-1
7,0,0,-1
30,17,12,1
30,18,45,4
8,10,11,1
2,3,3,1
0,1,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,2
1,0,1,1
0,0,1,4
0,0,0,2
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,-1
2,0,0,-1
48,-7,5,0
50,-7,78,-2
10,4,15,1
2,1,3,0
0,0,0,0
0,0,0,2
0,0,0,1
0,0,0,0
0,0,0,-1
0,0,1,4
0,0,0,4
0,0,0,1
0,0,0,-1
0,0,0,-1
0,0,0,-1
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,3
0,0,0,1
0,0,0,2
0,0,0,1
9,-1,0,0
36,1,15,0
35,2,57,0
6,3,9,2
2,0,3,3
1,0,1,3
0,0,0,2
0,0,0,2
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,-2
0,0,0,-2
0,0,0,0
0,0,0,1
0,0,0,0
2,0,0,0
35,-1,4,-2
35,-1,57,0
7,3,11,2
2,0,3,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,-2
0,0,0,-2
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,-1
0,0,0,0
0,0,0,-1
0,0,0,-1
0,0,0,0
0,0,0,0
0,0,0,-1
0,0,0,1
0,0,0,-1
2,0,0,0
34,0,5,0
34,0,54,-1
4,4,6,1
1,2,2,-1
0,0,0,0
0,0,0,0
0,0,0,-2
0,0,0,0
0,0,0,-1
0,0,0,0
0,0,0,0
0,0,0,-2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,-2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,2
0,0,0,-2
5,0,0,0
26,1,8,0
26,1,42,0
3,1,5,1
1,0,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
